# Từ điển đồng nghĩa CHẨN_ĐOÁN (VN) -> mã ICD-10. Tra TRƯỚC fuzzy (độ tin cậy cao).
# Cột: term<TAB>codes(phân tách bằng dấu phẩy, xếp best-first)
# Term dài, cụ thể hơn được ưu tiên khớp (loader tự sắp theo độ dài giảm dần).
# Mở rộng dần theo lỗi thấy trên dev set.
term	codes
trào ngược dạ dày - thực quản có viêm thực quản	K21.0
trào ngược dạ dày - thực quản không có viêm thực quản	K21.9
trào ngược dạ dày - thực quản	K21.0,K21.9
trào ngược dạ dày thực quản	K21.0,K21.9
tăng huyết áp	I10
đái tháo đường type 2	E11.9
đái tháo đường	E11.9
viêm phổi	J18.9
hen suyễn	J45.9
bệnh phổi tắc nghẽn mạn tính	J44.9
copd	J44.9
giãn phế quản	J47
xơ gan do rượu	K70.3
xơ gan	K74.6
suy thận cấp	N17.9
suy thận mạn	N18.9
suy thận	N19
nhiễm khuẩn huyết	A41.9
nhiễm trùng huyết	A41.9
nhiễm khuẩn đường tiết niệu	N39.0
nhiễm trùng đường tiết niệu	N39.0
rung nhĩ	I48
nhồi máu cơ tim	I21.9
suy tim	I50.9
xuất huyết dưới nhện	I60.9
viêm tủy xương	M86.9
ung thư vú	C50.9
u ác của vú	C50.9
bệnh thận đa nang	Q61.3
hội chứng ruột kích thích	K58.9
viêm tuyến mồ hôi	L73.2
ngất xỉu	R55
ngất	R55
